Arrival_Date,log_ret,log_return_lag1,vol_7,vol_7_lag1,vol_30,vol_30_lag1,rainfall_7d,rainfall_7d_lag1,festival_window,days_since_last_arrival,is_price_jump,price_momentum_7,price_momentum_3,month_sin,month_cos,dow_sin,dow_cos,govt_window,govt_none,govt_buffer_operations,govt_export_restriction,govt_farmer_actions,govt_import_support,govt_market_intervention,govt_procurement_support,govt_stock_limit_actions
2025-08-23,0.0,0.0,0.01810813719499369,0.019840924940589075,0.039152958081552273,0.039213248700044036,57.099999999999994,75.39999999999999,0,1,0,0.040440969558510675,0.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-08-24,0.0,0.0,0.01810813719499369,0.01810813719499369,0.0375676150962284,0.039152958081552273,52.199999999999996,57.099999999999994,0,2,0,0.040440969558510675,0.0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-08-25,0.0,0.0,0.002297663446659435,0.01810813719499369,0.0375676150962284,0.0375676150962284,47.8,52.199999999999996,1,0,0,-0.006079046076382226,0.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-08-26,-0.03343477608623734,0.0,0.012637157523616355,0.002297663446659435,0.03825630835596302,0.0375676150962284,39.89999999999999,47.8,1,0,0,-0.03343477608623734,-0.03343477608623736,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-08-27,0.0,-0.03343477608623734,0.012637157523616355,0.012637157523616355,0.036413678547834984,0.03825630835596302,42.8,39.89999999999999,1,0,0,-0.03343477608623734,-0.03343477608623736,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-08-28,-0.06899287148695143,0.0,0.027015815909294576,0.012637157523616355,0.038880044474910745,0.036413678547834984,56.099999999999994,42.8,1,0,0,-0.10242764757318878,-0.10242764757318878,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-08-29,0.0,-0.06899287148695143,0.027015815909294576,0.027015815909294576,0.038839049707632925,0.038880044474910745,80.0,56.099999999999994,1,0,0,-0.10242764757318878,-0.06899287148695143,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-08-30,-0.04380262265839289,0.0,0.028112317375779974,0.027015815909294576,0.03930928855826686,0.038839049707632925,82.8,80.0,0,0,0,-0.14623027023158167,-0.11279549414534432,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-08-31,0.0,-0.04380262265839289,0.028112317375779974,0.028112317375779974,0.03913447598248245,0.03930928855826686,79.19999999999999,82.8,0,0,0,-0.14623027023158167,-0.04380262265839289,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,1,0,0
2025-09-01,0.0,0.0,0.028112317375779974,0.028112317375779974,0.03906480557129491,0.03913447598248245,81.5,79.19999999999999,0,0,0,-0.14623027023158167,-0.04380262265839289,-0.8660254037844384,-0.5000000000000004,0.0,1.0,1,0,0,0,0,0,1,0,0
